rid	src_en	target_err	mt_de
2023	The company has never fired an employee, even when they're committing mistakes that render instruments useless for over a week.	SEN	 Das Unternehmen hat noch nie einen Mitarbeiter entlassen, selbst wenn dieser Fehler begangen hat, die die Instrumente über eine Woche lang unbrauchbar gemacht haben.
2024	I feel so insulted that they didn't even bother to look at my Resume before rejecting me the senior role.	SEN	 Ich fühle mich so beleidigt, dass sie sich nicht einmal die Mühe gemacht haben, meinen Lebenslauf anzuschauen, bevor sie mir die leitende Position verweigert haben.
2025	I also don't know if it is a giving opportunities to grow and the way to toss me out .	SEN	 Ich weiß auch nicht, ob es mir die Möglichkeit gibt, zu wachsen, oder ob es mir die Möglichkeit gibt, mich rauszuwerfen.
2026	She was not aware of that and said the time sheets should reflect the correct time we start and end.	SEN	 Sie war sich dessen nicht bewusst und meinte, dass die Stundenzettel die korrekte Anfangs- und Endzeit wiedergeben sollten.
2027	"But that would not make any significantly different noise or ""boom"" if you were going twice the speed of sound."	SEN	 Aber das würde keinen wesentlich anderen Lärm oder „Boom“ verursachen, als wenn Sie mit doppelter Schallgeschwindigkeit unterwegs wären.
2028	But then again, trying to see if something can fix it can also lead to not having time to secure.	SEN	 Andererseits kann der Versuch, herauszufinden, ob sich das Problem durch etwas beheben lässt, auch dazu führen, dass keine Zeit für die Sicherung bleibt.
2029	There are several utilities semi-blocking the area inside the house so I can't get a straight shot to the dryer.	SEN	 Der Bereich im Haus ist teilweise durch mehrere Versorgungsleitungen blockiert, sodass ich keinen direkten Zugang zum Trockner habe.
2030	It also caught my attention since she did it so quick and like at specific spot(not like the whole wing).	SEN	Es hat auch meine Aufmerksamkeit erregt, weil sie es so schnell und an einer bestimmten Stelle gemacht hat (nicht am ganzen Flügel).
2031	I don't have any checked luggage, but will be coming from an international flight and transferring to a domestic one.	SEN	 Ich habe kein aufgegebenes Gepäck, komme aber von einem internationalen Flug und steige auf einen Inlandsflug um.
2032	His mistakes are very visible and they have been client facing, but they don't seem to be significantly more frequent.	SEN	 Seine Fehler sind sehr offensichtlich und treten auch beim Kunden auf, aber sie scheinen nicht wesentlich häufiger aufzutreten.
2033	But it is necessary because the hole into which the rod goes is deep enough not to cause any issues	SEN	 Dies ist jedoch notwendig, da das Loch, in das die Stange eingesetzt wird, tief genug ist, um keine Probleme zu verursachen.
2034	(Note that we are using the terms ESP, telepathy and MMI in the technical sense, not in the popular sense.	SEN	 (Beachten Sie, dass wir die Begriffe ESP, Telepathie und MMI im technischen und nicht im allgemeinen Sinne verwenden.
2035	I don't have the amount of experience he has in a management position, but I do have some experience nevertheless.	SEN	 Ich verfüge zwar nicht über die gleiche Erfahrung in einer Führungsposition wie er, habe aber dennoch einige Erfahrung.
2036	He didn't want me to find out he was the one that said it was my fault, not the stakeholder.	SEN	 Er wollte nicht, dass ich herausfinde, dass er derjenige war, der gesagt hatte, es sei meine Schuld gewesen, und nicht der Interessenvertreter.
2037	I feel very defeated by the situation as it currently is, and I see no obvious way it will improve.	SEN	 Ich fühle mich von der aktuellen Situation völlig überwältigt und sehe keine Möglichkeit, wie sich die Situation verbessern wird.
2038	The system sort of works now, but the air-handler blower won't reach high-speed mode, thus weak airflow from the vents.	SEN	Das System funktioniert jetzt einigermaßen, aber das Gebläse der Luftbehandlungsanlage erreicht nicht den Hochgeschwindigkeitsmodus, daher ist der Luftstrom aus den Lüftungsöffnungen schwach.
2039	Fact is, I cannot commute to the office all five days since my commute is long, and summer is approaching.	SEN	 Tatsache ist, dass ich nicht alle fünf Tage ins Büro pendeln kann, da mein Arbeitsweg lang ist und der Sommer naht.
2040	If you're wondering, the township says they don't have jurisdiction in this case, so they don't require a building permit.	SEN	 Falls Sie sich fragen: Die Gemeinde sagt, sie sei in diesem Fall nicht zuständig und benötige daher keine Baugenehmigung.
2041	The tasks are one-off tasks in the data analysis industry; they're small projects and action items, not many recurring tasks.	SEN	 Bei den Aufgaben handelt es sich um einmalige Aufgaben in der Datenanalysebranche. Es handelt sich um kleine Projekte und Aktionspunkte, nicht um viele wiederkehrende Aufgaben.
2042	Edit: something I forgot to add is that this project is not my sole or even main source of income.	SEN	 Bearbeiten: Ich habe vergessen hinzuzufügen, dass dieses Projekt nicht meine einzige oder gar Haupteinnahmequelle ist.
2043	Instead, I feel trapped in a location that isn't equipped to take interns and is unwilling to let me go	SEN	 Stattdessen fühle ich mich an einem Ort gefangen, der nicht darauf eingestellt ist, Praktikanten aufzunehmen und mich nicht gehen lassen will.
2044	Is not having a degree likely to be a significant barrier in the long term, especially in the tech industry?	SEN	 Ist es auf lange Sicht wahrscheinlich, dass das Fehlen eines Abschlusses ein erhebliches Hindernis darstellt, insbesondere in der Technologiebranche?
2045	Also this job is not a driving job, its a desk job although there might be some self travel involved.	SEN	 Außerdem handelt es sich bei diesem Job nicht um einen Fahrerjob, sondern um einen Schreibtischjob, obwohl möglicherweise einige Fahrten auf eigene Faust erforderlich sind.
2046	That seems like a really bad idea, but I don't want it to hit him out of the blue either	SEN	Das scheint eine wirklich schlechte Idee zu sein, aber ich möchte auch nicht, dass es ihn aus heiterem Himmel trifft
2047	I don't know the exact model, but it has a freezer at the bottom and a fridge proper on top.	SEN	 Ich kenne das genaue Modell nicht, aber es hat unten ein Gefrierfach und oben einen richtigen Kühlschrank.
2048	It was stored for reference and I cannot see any log of it being circulated or a request for signature.	SEN	 Es wurde zu Referenzzwecken gespeichert und ich kann weder ein Protokoll seiner Verbreitung noch eine Aufforderung zur Unterschrift erkennen.
2049	I will be fully sponsoring the trip because she’s not employed, so will be including my bank statements and payslips.	SEN	 Da sie nicht berufstätig ist, werde ich die Reise vollständig finanzieren und ihr daher meine Kontoauszüge und Gehaltsabrechnungen beifügen.
2050	It is not acceptable for an employee to be distracted from the task they are assigned to by another employee.	SEN	 Es ist nicht akzeptabel, dass ein Mitarbeiter durch einen anderen Mitarbeiter von der ihm zugewiesenen Aufgabe abgelenkt wird.
2051	I've re-aligned and tightened it on numerous occasions but never enough that eventually it doesn't work its way back off.	SEN	 Ich habe es mehrmals neu ausgerichtet und festgezogen, aber nie so fest, dass es sich nicht irgendwann wieder lösen würde.
2052	Here's what I'm not sure about: would this message cross some kind of ethical line that I don't know about?	SEN	 In folgendem Punkt bin ich mir nicht sicher: Würde diese Nachricht eine ethische Grenze überschreiten, die ich nicht kenne?
2053	My concern is whether I should replace the saw itself (the blade is obviously not going to be used again).	SEN	 Ich mache mir Sorgen, ob ich die Säge selbst ersetzen sollte (das Sägeblatt wird offensichtlich nicht wieder verwendet).
2054	But without documentation, I don't see an alternative, except for guessing and waiting for someone to point out a mistake.	SEN	Aber ohne Dokumentation sehe ich keine Alternative, außer zu raten und darauf zu warten, dass jemand auf einen Fehler hinweist.
2055	Note that I'm not particularly worried about the joist itself, because the crack is longitudinal and the joist is sistered.	SEN	 Beachten Sie, dass ich mir um den Balken selbst keine großen Sorgen mache, da der Riss längs verläuft und der Balken verstärkt ist.
2056	It's as if it doesn't seem important to them or maybe they feel like their contributions are irrelevant or something.	SEN	 Es ist, als ob es ihnen nicht wichtig erscheint oder als ob sie das Gefühl hätten, ihre Beiträge seien irrelevant oder so etwas.
2057	But claims that Certain groups are smarter The smarter groups make more money are very common among anyone not progressive.	SEN	 Doch die Behauptung, dass bestimmte Gruppen intelligenter seien und mehr Geld verdienten, ist unter allen, die nicht progressiv seien, weit verbreitet.
2058	since the new cartridges didn't help , could it be I needed pfister specific rather than generic from hardware store?	SEN	 da die neuen Patronen nicht geholfen haben, könnte es sein, dass ich spezielles Pfister und kein generisches aus dem Baumarkt brauchte?
2059	Although I’m not particularly attached to the code itself, it felt dismissive to see it removed without a thorough discussion.	SEN	 Obwohl ich nicht besonders an dem Code selbst hänge, war es für mich eine Abfuhr, dass er ohne eine ausführliche Diskussion entfernt wurde.
2060	It does limit my options however, as with a startup or freelance I possibly won't be able to negotiate this.	SEN	 Dies schränkt meine Möglichkeiten jedoch ein, da ich bei einem Startup oder als Freiberufler möglicherweise nicht in der Lage bin, dies auszuhandeln.
2061	Nobody talks in the office unless they want to report on their work-progress, but they don't seem particularly stressed either.	SEN	Im Büro redet niemand, es sei denn, er möchte über seinen Arbeitsfortschritt berichten, aber besonders gestresst scheint man auch nicht zu sein.
2062	I cannot leave hold of my work, at weekends or in the evening, I often find myself researching work-related topics.	SEN	 Ich kann meine Arbeit nicht loslassen und recherchiere am Wochenende oder abends oft zu arbeitsbezogenen Themen.
2063	If true, that seems like an exciting development, but I'm not sure how to evaluate the credibility of their claims.	SEN	 Wenn das stimmt, scheint das eine spannende Entwicklung zu sein, aber ich bin nicht sicher, wie ich die Glaubwürdigkeit ihrer Behauptungen einschätzen soll.
2064	If anyone can read the current scheme and see any dead giveaways, I'm not counting it (or anything else) out.	SEN	 Wenn irgendjemand das aktuelle Schema lesen und irgendwelche eindeutigen Hinweise erkennen kann, schließe ich es (oder irgendetwas anderes) nicht aus.
2065	The manager really doesn't want to see a team member quit, but doesn't really have leverage to change the system.	SEN	 Der Manager möchte auf keinen Fall, dass ein Teammitglied kündigt, hat aber keinen wirklichen Einfluss darauf, das System zu ändern.
2066	However, I couldn't find any articles on the internet about the frequency range of the noise caused by spastic activity.	SEN	 Allerdings konnte ich im Internet keine Artikel über den Frequenzbereich der durch spastische Aktivitäten verursachten Geräusche finden.
2067	I believe that taking two terminal from up to the push buttons on the gate is not an efficient solution.	SEN	 Ich glaube, dass die Verwendung von zwei Terminals bis zu den Drucktasten am Tor keine effiziente Lösung ist.
2068	And if so, is it possible for travelers (not locals or insiders) to get access, or are they strictly invite-only?	SEN	 Und wenn ja, ist der Zugang für Reisende (nicht für Einheimische oder Insider) möglich oder ist er ausschließlich auf Einladung möglich?
2069	It's not a silly poll question, its a confirmation of attendance but they don't seem to be taking it seriously.	SEN	Es handelt sich nicht um eine dumme Umfragefrage, sondern um eine Teilnahmebestätigung, aber sie scheinen es nicht ernst zu nehmen.
2070	It's working, and it cools the space no problem, but I'm now realizing that it's way oversized for the space.	SEN	 Es funktioniert und kühlt den Raum problemlos, aber mir ist jetzt klar, dass es für den Raum viel zu groß ist.
2071	I don't want to turn on the compressor because, after several weeks of non-operation, the insides should be quite dry.	SEN	 Ich möchte den Kompressor nicht einschalten, da das Innere nach mehreren Wochen Nichtbetrieb ziemlich trocken sein sollte.
2072	and I don't want it to seem like I'm hiding it, but the topic has not even come up yet.	SEN	 und ich möchte nicht, dass es so aussieht, als würde ich es verheimlichen, aber das Thema ist bisher noch nicht einmal zur Sprache gekommen.
2073	Should I answer “Yes” or “No” for question to “someone I know is paying towards the cost of my trip”	SEN	 Soll ich die Frage „Jemand, den ich kenne, beteiligt sich an den Kosten meiner Reise“ mit „Ja“ oder „Nein“ beantworten?
2074	However, after landing, I was not asked to go to border control, but rather shown the direction to the exit.	SEN	 Nach der Landung wurde ich jedoch nicht zur Grenzkontrolle aufgefordert, sondern mir wurde die Richtung zum Ausgang gezeigt.
2075	(The technical term is transparent : can a human detect a difference in a given context with no outside tools?	SEN	 (Der Fachbegriff ist durchsichtig: Kann ein Mensch in einem bestimmten Kontext ohne externe Hilfsmittel einen Unterschied erkennen?
2076	Not to speculate beyond exploring the possibility, would fuel flow if it were anything but locked in the cutoff position?	SEN	 Ohne über die Möglichkeit hinaus zu spekulieren: Würde Kraftstoff fließen, wenn er nicht in der Abschaltposition verriegelt wäre?
2077	It seems from the sentence in quotes they are not, but if that is the case, it seems highly flawed?	SEN	Aus dem Satz in Anführungszeichen geht hervor, dass dies nicht der Fall ist. Wenn das jedoch der Fall ist, scheint es sich um einen großen Fehler zu handeln.
2078	I'll be transferring to a new team in two months, and did not hit it off with my new boss.	SEN	 Ich werde in zwei Monaten in ein neues Team wechseln und habe mich mit meinem neuen Chef nicht gut verstanden.
2079	I have no driver's license -- just a learners/instruction permit -- but I have the money to rent a car.	SEN	 Ich habe keinen Führerschein – nur eine Lern-/Ausbildungserlaubnis – aber ich habe das Geld, um ein Auto zu mieten.
2080	I'm planning to replace the surface boards myself, possibly with some material that doesn't require as maintainence as wood (advice?)	SEN	 Ich plane, die Oberflächenbretter selbst auszutauschen, möglicherweise durch ein Material, das nicht so pflegeintensiv ist wie Holz (Ratschläge?)
2081	Despite my explanation, the teammate continued to continuously message things like: “Why don't you use the component, it's already built?”	SEN	 Trotz meiner Erklärung schickte mir der Teamkollege weiterhin ständig Nachrichten wie: „Warum verwendest du die Komponente nicht, sie ist bereits erstellt?“
2082	He finally he concluded that I'd been putting in great effort, but the same was not known to the client.	SEN	 Er kam schließlich zu dem Schluss, dass ich große Anstrengungen unternommen hatte, der Kunde davon jedoch nichts wusste.
2083	What about, the possibility of at least some aspects of the selection is in fact random, may be not entire?	SEN	 Wie steht es mit der Möglichkeit, dass zumindest einige Aspekte der Auswahl tatsächlich zufällig sind und möglicherweise nicht vollständig?
2084	After taking off the damaged blade, I could not see any visible damage to the washers, bolt or the shaft.	SEN	 Nach dem Abnehmen der beschädigten Klinge konnte ich keine sichtbaren Schäden an den Unterlegscheiben, der Schraube oder der Welle feststellen.
2085	The overheating brake in a small closed compartment made the heat cannot be removed and damaged the surrounding hydraulic lines.	SEN	Durch die Überhitzung der Bremse in einem kleinen geschlossenen Raum konnte die Wärme nicht abgeführt werden und die umliegenden Hydraulikleitungen wurden beschädigt.
2086	It seems most lawyers don't get involved for this amount of money in dispute and he didn't accept my case.	SEN	 Es scheint, dass die meisten Anwälte sich bei Streitwerten dieser Größenordnung nicht einmischen, und er hat meinen Fall nicht angenommen.
2087	(emphasis mine) Entering my flight number on this website does not give any indication that it would not be permissible.	SEN	 (Hervorhebung von mir) Die Eingabe meiner Flugnummer auf dieser Website enthält keinen Hinweis darauf, dass dies nicht zulässig wäre.
2088	I have written in numerous emails to my line manager and the contracting company's HR, and have received no response.	SEN	 Ich habe meinem Vorgesetzten und der Personalabteilung des Vertragsunternehmens zahlreiche E-Mails geschrieben und keine Antwort erhalten.
2089	She is also having tremor and mobility issues investigated for possible parkinson's although this is not medicated or fully diagnosed.	SEN	 Außerdem werden bei ihr Tremor und Mobilitätsprobleme auf eine mögliche Parkinson-Erkrankung untersucht, obwohl diese weder medikamentös behandelt noch vollständig diagnostiziert wurde.
2090	"His request was for me to ""show I'm trying to go above and beyond"" and ""don't be told how twice""."	SEN	 Seine Bitte an mich war, „zu zeigen, dass ich versuche, über das Übliche hinauszugehen“ und „mir nicht zweimal sagen zu lassen, wie das geht“.
2091	I requested this man to give me some time, but he does not even want to give me a month.	SEN	 Ich habe diesen Mann gebeten, mir etwas Zeit zu geben, aber er will mir nicht einmal einen Monat geben.
2092	And in February, she didn't get any, because she was on vacation for two weeks (she still did test some).	SEN	 Und im Februar hat sie keine bekommen, weil sie zwei Wochen im Urlaub war (sie hat trotzdem welche getestet).
2093	I can't find a product that will let me attach the vent cover after inserting and sealing around the tube.	SEN	Ich kann kein Produkt finden, mit dem ich die Entlüftungsabdeckung nach dem Einsetzen und Abdichten um das Rohr herum anbringen kann.
2094	Any recommendations on how to communicate this to my supervisor and how to approach learning technologies I'm not good at?	SEN	 Gibt es Empfehlungen, wie ich dies meinem Vorgesetzten mitteilen und wie ich mit Lerntechnologien umgehen soll, die mir nicht liegen?
2095	If they don't call my current employer, they may try to call A and then end up letting C know.	SEN	 Wenn sie meinen derzeitigen Arbeitgeber nicht anrufen, versuchen sie möglicherweise, A anzurufen und informieren dann C.
2096	My A/c will not discharge condensation if I have the fan switch in the “on” position though it does cool.	SEN	 Meine Klimaanlage leitet kein Kondenswasser ab, wenn ich den Lüfterschalter auf „Ein“ stelle, obwohl sie kühlt.
2097	Having them travel as cargo is basically not an option: it's bad enough but they're older and not particularly healthy.	SEN	 Sie als Fracht mitzunehmen, ist grundsätzlich keine Option: Es ist schon schlimm genug, aber sie sind älter und nicht besonders gesund.
2098	Four developers who signed the pledge were subsequently found not to have developed buildings within the scope of the contract.	SEN	 Bei vier Bauträgern, die die Verpflichtungserklärung unterzeichnet hatten, stellte sich später heraus, dass sie keine Gebäude im Rahmen des Vertrags errichtet hatten.
2099	We may: review qualifications at any time withdraw approval following a review if our approval requirements are no longer met	SEN	 Wir können: die Qualifikationen jederzeit überprüfen die Genehmigung nach einer Überprüfung widerrufen, wenn unsere Genehmigungsanforderungen nicht mehr erfüllt sind
2100	If an applicant does not pass the assessment and is refused registration, they can make a new application for registration.	SEN	 Wenn ein Bewerber die Prüfung nicht besteht und ihm die Registrierung verweigert wird, kann er einen neuen Antrag auf Registrierung stellen.
2101	Original documents are only required if your application is a first registration which is not based on certified copy documents.	SEN	Originaldokumente sind nur erforderlich, wenn es sich bei Ihrem Antrag um eine Erstzulassung handelt, die nicht auf beglaubigten Kopien von Dokumenten basiert.
2102	This framework includes ‘pre-GORS’ requirements that covers students and apprentices who are not yet eligible to become full GORS members.	SEN	 Dieser Rahmen umfasst „Pre-GORS“-Anforderungen, die sich auf Studenten und Auszubildende beziehen, die noch nicht berechtigt sind, vollwertige GORS-Mitglieder zu werden.
2103	However, as the department aims to provide similar remedies for similar injustices, the principles must be applied to every case.	SAF	 Da die Abteilung jedoch darauf abzielt, für ähnliche Ungerechtigkeiten ähnliche Rechtsmittel bereitzustellen, müssen die Grundsätze in jedem Fall angewendet werden.
2104	Your letter will tell you if you should make any further contact with the regional court or the local venue.	SAF	 In Ihrem Schreiben erfahren Sie, ob Sie sich weiter an das Landgericht oder den Gerichtsstand wenden müssen.
2105	This guidance advises deputies and attorneys on how to approach giving gifts on behalf of the person they act for.	SAF	 Diese Anleitung gibt Abgeordneten und Anwälten Hinweise zum Umgang mit Geschenken im Namen der Person, für die sie handeln.
2106	Academy trusts must report all expenditure transactions or seek approval where necessary using the related party transactions online form .	SAF	 Die Stiftungen der Akademien müssen alle Ausgabentransaktionen melden oder gegebenenfalls eine Genehmigung über das Online-Formular für Transaktionen mit verbundenen Parteien einholen.
2107	The Code of Practice shows how to manage cyber risks effectively and reduce the likelihood and impact of cyber attacks.	SAF	 Der Verhaltenskodex zeigt, wie Cyberrisiken effektiv gemanagt und die Wahrscheinlichkeit und Auswirkungen von Cyberangriffen verringert werden können.
2108	Please note: this guidance is currently under review These guidelines provide information on consent and ceasing patients from screening programmes.	SAF	Bitte beachten Sie: Diese Leitlinien werden derzeit überprüft. Diese Leitlinien enthalten Informationen zur Einwilligung und zum Ausschluss von Patienten aus Screening-Programmen.
2109	Who should read this handbook Read this handbook if you have responsibility for governing, managing or auditing an academy trust.	SAF	 Wer sollte dieses Handbuch lesen? Lesen Sie dieses Handbuch, wenn Sie für die Leitung, Verwaltung oder Prüfung einer Akademiestiftung verantwortlich sind.
2110	This guidance is for government officials developing or implementing policy that will regulate or deregulate business or civil society organisations.	SAF	 Diese Leitlinien richten sich an Regierungsbeamte, die Richtlinien zur Regulierung oder Deregulierung von Unternehmen oder zivilgesellschaftlichen Organisationen entwickeln oder umsetzen.
2111	This guidance is for: local authorities school admission authorities There is separate advice for parents of summer born children .	SAF	 Diese Anleitung richtet sich an: lokale Behörden, Schulaufnahmebehörden. Für Eltern von im Sommer geborenen Kindern gibt es separate Ratschläge.
2112	Guidance on driving standards if you have sight in one eye, cataracts or after cataract surgery or other related conditions.	SAF	 Hinweise zu Fahrstandards, wenn Sie auf einem Auge blind sind, an Katarakt leiden oder nach einer Kataraktoperation oder anderen damit verbundenen Erkrankungen.
2113	However, local systems should be informed by the contents with a view to developing consistent outbreak management practice over time.	SAF	 Allerdings sollten die Inhalte in die lokalen Systeme einfließen, um im Laufe der Zeit eine einheitliche Praxis im Umgang mit Ausbrüchen zu entwickeln.
2114	The functions should then liaise with each other and the central controls team to ensure that each control is considered.	SAF	 Die Funktionen sollten dann miteinander und mit dem zentralen Kontrollteam zusammenarbeiten, um sicherzustellen, dass jede Kontrolle berücksichtigt wird.
2115	Check the guidance on how to create your file for extended producer responsibility if you need help understanding the error.	SAF	Lesen Sie die Anleitung zum Erstellen Ihrer Datei für die erweiterte Herstellerverantwortung, wenn Sie Hilfe beim Verständnis des Fehlers benötigen.
2116	What businesses, including brands and agencies that advise them, should do to make sure they comply with consumer protection law.	SAF	 Was Unternehmen, einschließlich Marken und Agenturen, die sie beraten, tun sollten, um sicherzustellen, dass sie die Verbraucherschutzgesetze einhalten.
2117	This guidance provides landlords with information about the rules for document checks, examples of acceptable documents and frequently asked questions.	SAF	 Dieser Leitfaden informiert Vermieter über die Regeln zur Dokumentenprüfung, Beispiele für zulässige Dokumente und häufig gestellte Fragen.
2118	This document contains detailed brand guidance for all GOV.UK brand elements, including the colour palette, typography, and the GOV.UK ‘dot’.	SAF	 Dieses Dokument enthält detaillierte Markenrichtlinien für alle Markenelemente von GOV.UK, einschließlich Farbpalette, Typografie und dem GOV.UK-„Punkt“.
2119	Based on an assessment of risk and complexity, assurance on selected items from the pipeline may be delegated to organisations.	SAF	 Auf Grundlage einer Risiko- und Komplexitätsbewertung kann die Gewährleistung ausgewählter Elemente aus der Pipeline an Organisationen delegiert werden.
2120	Businesses can be searched for and filtered by: location industry company size Related information Armed Forces Covenant: guidance and support	SAF	 Unternehmen können nach folgenden Kriterien gesucht und gefiltert werden: Standort Branche Unternehmensgröße Verwandte Informationen Armed Forces Covenant: Beratung und Unterstützung
2121	We have also published guidance for monitoring inspections , along with ‘Inspecting schools: guide for maintained and academy schools’ .	SAF	 Wir haben außerdem einen Leitfaden für Überwachungsinspektionen veröffentlicht, zusammen mit „Inspektion von Schulen: Leitfaden für staatliche Schulen und Akademieschulen“.
2122	Platforms have responsibilities under consumer protection law to prevent and tackle unlawful practices, such as hidden advertising and fake reviews.	SAF	Plattformen haben gemäß dem Verbraucherschutzrecht die Verantwortung, rechtswidrige Praktiken wie versteckte Werbung und gefälschte Bewertungen zu verhindern und zu bekämpfen.
2123	This guidance is for approved bodies who are required to receive and review a PSUR from manufacturers of medical devices.	SAF	 Diese Anleitung richtet sich an zugelassene Stellen, die von Herstellern medizinischer Geräte einen PSUR erhalten und prüfen müssen.
2124	Budgeting Loans See our separate guidance on how to ask for a further, independent review of a Budgeting Loan .	SAF	 Budgetierungsdarlehen: Lesen Sie unsere separaten Hinweise dazu, wie Sie eine weitere, unabhängige Überprüfung eines Budgetierungsdarlehens beantragen können.
2125	Due to the possibility of rock fall, for safety you are strongly advised to observe warning signs in the area.	SAF	 Wegen der Gefahr von Steinschlag wird Ihnen aus Sicherheitsgründen dringend empfohlen, die Warnschilder in diesem Gebiet zu beachten.
2126	(c) on how processes for identifying, assessing, and managing climate-related risks are integrated into the organisation’s overall risk management .	SAF	 (c) wie Prozesse zur Ermittlung, Bewertung und Bewältigung klimabezogener Risiken in das allgemeine Risikomanagement der Organisation integriert werden.
2127	Check back to the DCTS Trading with Developing Nations main page for more information and updated guidance nearer the time.	SAF	 Weitere Informationen und aktualisierte Anleitungen finden Sie zu gegebener Zeit auf der DCTS-Hauptseite zum Handel mit Entwicklungsländern.
2128	You’ll be notified in advance if there is a change to the risk category of a commodity you have imported.	SAF	 Bei einer Änderung der Risikokategorie einer von Ihnen importierten Ware werden Sie vorab benachrichtigt.
2129	Anyone who carries out street works must reinstate the street once the work is finished, in line with these standards.	SAF	Wer Straßenarbeiten durchführt, muss die Straße nach Abschluss der Arbeiten diesen Normen entsprechend wiederherstellen.
2130	This should be done for each type of authorisation required in order to declare the goods to the customs procedure.	SAF	 Dies sollte für jede Art von Genehmigung erfolgen, die für die Anmeldung der Waren zum Zollverfahren erforderlich ist.
2131	For reporting purposes, providers should discuss and agree the format of their annual accounts with their auditor or their accountant.	SAF	 Zu Berichtszwecken sollten Anbieter das Format ihres Jahresabschlusses mit ihrem Wirtschaftsprüfer oder Buchhalter besprechen und vereinbaren.
2132	You can also find out if you are at risk of flooding from rivers and the sea and reservoirs .	SAF	 Sie können auch herausfinden, ob bei Ihnen die Gefahr von Überschwemmungen durch Flüsse, das Meer und Stauseen besteht.
2133	This guidance is for companies and LLPs who must comply with the statutory reporting duty for payment practices and performance.	SAF	 Dieser Leitfaden richtet sich an Unternehmen und LLPs, die der gesetzlichen Meldepflicht hinsichtlich Zahlungsverhalten und -leistung nachkommen müssen.
2134	This framework sets out the required frequency, duties, requirements and general guidance on holding progression panels, to maximise their effectiveness.	SAF	 In diesem Rahmen werden die erforderliche Häufigkeit, Aufgaben, Anforderungen und allgemeine Richtlinien für die Durchführung von Fortschrittsgremien festgelegt, um deren Wirksamkeit zu maximieren.
2135	For more information, see the ‘order printed leaflets’ section of our guidance on how to access and order leaflets .	SAF	 Weitere Informationen finden Sie im Abschnitt „Bestellung gedruckter Broschüren“ unserer Anleitung zum Zugriff auf und zur Bestellung von Broschüren.
2136	Our online team of experts will do their best to answer all your queries, or direct you to helpful guidance.	SAF	 Unser Online-Expertenteam wird sein Bestes tun, um alle Ihre Fragen zu beantworten oder Sie an hilfreiche Anleitungen weiterzuleiten.
2137	Investment should seek to revitalise areas by building thriving places, creating stronger communities, and empowering people to take back control.	SAF	Investitionen sollten darauf abzielen, Gebiete wiederzubeleben, indem florierende Orte geschaffen, stärkere Gemeinschaften aufgebaut und den Menschen die Möglichkeit gegeben wird, die Kontrolle zurückzugewinnen.
2138	The poster indicates which vaccine children and young people should get and who is eligible and is available to download.	SAF	 Das Poster informiert über die geeigneten Impfungen für Kinder und Jugendliche und steht zum Download bereit.
2139	Institutions risk losing funding in future years if a student is identified to be not compliant with the funding condition.	SAF	 Wenn sich herausstellt, dass ein Student die Finanzierungsbedingungen nicht erfüllt, riskieren die Institutionen, in den kommenden Jahren ihre Finanzierung zu verlieren.
2140	Like the NRR, the CRA is aimed at risk and resilience practitioners, including businesses and voluntary and community sector organisations.	SAF	 Wie das NRR richtet sich das CRA an Risiko- und Resilienzfachleute, darunter Unternehmen sowie Organisationen des Freiwilligen- und Gemeinschaftssektors.
2141	This guidance is for the new law divorce services, which includes all applications submitted and issued after 6 April 2022.	SAF	 Diese Anleitung gilt für die Scheidungsdienste nach dem neuen Gesetz und umfasst alle nach dem 6. April 2022 eingereichten und ausgestellten Anträge.
2142	Maternal RSV vaccination poster A poster for the RSV maternal programme is available to order ( product code: RSVPGEN ).	SAF	 Poster zur RSV-Impfung für Mütter. Ein Poster zum RSV-Impfprogramm für Mütter kann bestellt werden (Produktcode: RSVPGEN).
2143	This guidance is for people from overseas who may want to work in health and social care in the UK.	SAF	 Dieser Leitfaden richtet sich an Personen aus dem Ausland, die im Vereinigten Königreich im Gesundheits- und Sozialwesen arbeiten möchten.
2144	This IIN must be read alongside any IIN for the import of a specific category of POAO for human consumption.	SAF	Diese IIN muss zusammen mit allen IIN für die Einfuhr einer bestimmten Kategorie von POAO für den menschlichen Verzehr gelesen werden.
2145	This guidance explains what community interest companies (CICs) are and the steps that must be taken to form a CIC.	SAF	 In diesem Leitfaden wird erläutert, was Community Interest Companies (CICs) sind und welche Schritte zur Gründung einer CIC erforderlich sind.
2146	This guidance was originally published by the Office of Fair Trading (OFT) and has been adopted by the CMA Board.	SAF	 Diese Leitlinien wurden ursprünglich vom Office of Fair Trading (OFT) veröffentlicht und vom CMA-Vorstand übernommen.
2147	Ofsted’s registration guidance explains how to register and what stages your application will go through before we make a decision.	SAF	 In den Registrierungsrichtlinien von Ofsted wird erläutert, wie Sie sich registrieren und welche Phasen Ihr Antrag durchläuft, bevor wir eine Entscheidung treffen.
2148	However, it is not always possible to predict individuals who might have a mild or serious reaction to a vaccine.	SAF	 Es ist jedoch nicht immer möglich, vorherzusagen, bei welchen Personen eine leichte oder schwere Reaktion auf einen Impfstoff auftreten könnte.
2149	About the DSG Read the DSG conditions of grant to find out more about how the grant should be used.	SAF	 Informationen zum DSG Lesen Sie die DSG-Zuschussbedingungen, um mehr über die Verwendung des Zuschusses zu erfahren.
